assessment_name,assessment_url,test_type,description,category
Automata Fix New,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,K,Automata Fix New assessment for comprehensive evaluation,Technical
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,K,Automata Selenium assessment for comprehensive evaluation,Technical
Automata Sql New,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,K,Automata Sql New assessment for comprehensive evaluation,Technical
Bank Administrative Assistant Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,K,Bank Administrative Assistant Short Form assessment for comprehensive evaluation,Technical
Basic Computer Literacy Windows 10 New,https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,K,Basic Computer Literacy Windows 10 New assessment for comprehensive evaluation,Technical
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,K,Business Communication Adaptive assessment for comprehensive evaluation,Technical
Core Java Advanced Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,K,Core Java Advanced Level New assessment for comprehensive evaluation,Technical
Core Java Entry Level New,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,K,Core Java Entry Level New assessment for comprehensive evaluation,Technical
Css3 New,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,K,Css3 New assessment for comprehensive evaluation,Technical
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,K,Data Warehousing Concepts assessment for comprehensive evaluation,Technical
Digital Advertising New,https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,K,Digital Advertising New assessment for comprehensive evaluation,Technical
Drupal New,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,K,Drupal New assessment for comprehensive evaluation,Technical
English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,K,English Comprehension New assessment for comprehensive evaluation,Technical
English Comprehension New,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,K,English Comprehension New assessment for comprehensive evaluation,Technical
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,K,Entry Level Sales 7 1 assessment for comprehensive evaluation,Technical
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,K,Entry Level Sales Sift Out 7 1 assessment for comprehensive evaluation,Technical
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,K,Entry Level Sales Solution assessment for comprehensive evaluation,Technical
General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,K,General Entry Level Data Entry 7 0 Solution assessment for comprehensive evaluation,Technical
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,K,Global Skills Assessment assessment for comprehensive evaluation,Technical
Htmlcss New,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,K,Htmlcss New assessment for comprehensive evaluation,Technical
Java 8 New,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,K,Java 8 New assessment for comprehensive evaluation,Technical
Javascript New,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,K,Javascript New assessment for comprehensive evaluation,Technical
Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,K,Manager 8 0 Jfa 4310 assessment for comprehensive evaluation,Technical
Manual Testing New,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,K,Manual Testing New assessment for comprehensive evaluation,Technical
Marketing New,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,K,Marketing New assessment for comprehensive evaluation,Technical
Microsoft Excel 365 Essentials New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,K,Microsoft Excel 365 Essentials New assessment for comprehensive evaluation,Technical
Microsoft Excel 365 New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,K,Microsoft Excel 365 New assessment for comprehensive evaluation,Technical
Python New,https://www.shl.com/solutions/products/product-catalog/view/python-new/,K,Python New assessment for comprehensive evaluation,Technical
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,K,Sales Representative Solution assessment for comprehensive evaluation,Technical
Search Engine Optimization New,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,K,Search Engine Optimization New assessment for comprehensive evaluation,Technical
Selenium New,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,K,Selenium New assessment for comprehensive evaluation,Technical
Shl Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,K,Shl Verify Interactive Inductive Reasoning assessment for comprehensive evaluation,Technical
Shl Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,K,Shl Verify Interactive Numerical Calculation assessment for comprehensive evaluation,Technical
Sql Server Analysis Services %28Ssas%29 %28New%29,https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,K,Sql Server Analysis Services %28Ssas%29 %28New%29 assessment for comprehensive evaluation,Technical
Sql Server New,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,K,Sql Server New assessment for comprehensive evaluation,Technical
Svar Spoken English Indian Accent New,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,K,Svar Spoken English Indian Accent New assessment for comprehensive evaluation,Technical
Tableau New,https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,K,Tableau New assessment for comprehensive evaluation,Technical
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,K,Technical Sales Associate Solution assessment for comprehensive evaluation,Technical
Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,K,Verify Numerical Ability assessment for comprehensive evaluation,Technical
Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,K,Verify Verbal Ability Next Generation assessment for comprehensive evaluation,Technical
Writex Email Writing Sales New,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,K,Writex Email Writing Sales New assessment for comprehensive evaluation,Technical
Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,K,Written English V1 assessment for comprehensive evaluation,Technical
Administrative Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,P,Administrative Professional Short Form assessment for comprehensive evaluation,Behavioral
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,P,Enterprise Leadership Report assessment for comprehensive evaluation,Behavioral
Enterprise Leadership Report 2 0,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report-2-0/,P,Enterprise Leadership Report 2 0 assessment for comprehensive evaluation,Behavioral
Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,P,Financial Professional Short Form assessment for comprehensive evaluation,Behavioral
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,P,Interpersonal Communications assessment for comprehensive evaluation,Behavioral
Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,Occupational Personality Questionnaire Opq32R assessment for comprehensive evaluation,Behavioral
Occupational Personality Questionnaire Opq32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,Occupational Personality Questionnaire Opq32R assessment for comprehensive evaluation,Behavioral
Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,P,Opq Leadership Report assessment for comprehensive evaluation,Behavioral
Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,P,Opq Team Types And Leadership Styles Report assessment for comprehensive evaluation,Behavioral
Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,P,Professional 7 0 Solution 3958 assessment for comprehensive evaluation,Behavioral
Professional 7 1 Solution,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,P,Professional 7 1 Solution assessment for comprehensive evaluation,Behavioral
Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,P,Professional 7 1 Solution assessment for comprehensive evaluation,Behavioral
